MeSH,PMID,abstract,title,drug
"['Adult', 'Aged', 'Angina, Unstable', 'drug therapy', 'Blood Transfusion', 'Coronary Artery Bypass', 'methods', 'Double-Blind Method', 'Eptifibatide', 'Female', 'Humans', 'Intraoperative Complications', 'Male', 'Middle Aged', 'Peptides', 'adverse effects', 'therapeutic use', 'Platelet Aggregation Inhibitors', 'adverse effects', 'therapeutic use', 'Platelet Count', 'Platelet Glycoprotein GPIIb-IIIa Complex', 'antagonists & inhibitors', 'Postoperative Complications', 'Prospective Studies']",11016325,"the platelet gp iib/iiia inhibitor eptifibatide improves outcomes in patients with acute coronary syndromes. patients requiring emergent coronary artery bypass grafting, however, may be at increased risk for bleeding if exposed to eptifibatide. data from the pursuit trial were reviewed to assess this risk in patients undergoing coronary surgery immediately after exposure to eptifibatide.
in pursuit, 10,948 patients who presented with non st segment elevation acute coronary syndromes were prospectively randomized to receive eptifibatide (180 microg/kg bolus plus 2 microg/kg/min infusion) or placebo. a total of 78 patients underwent immediate coronary artery bypass surgery within 2 hours of cessation of study drug (placebo, n = 46; eptifibatide, n = 32). clinical outcome, bleeding, and transfusion requirements within this subset were examined.
major bleeding was not different between groups, occurring in 64% of patients receiving placebo and 63% of patients receiving eptifibatide. the incidence of blood transfusion was similar as well (57% vs 59%). postoperative thrombocytopenia occurred less often after eptifibatide exposure. perioperative myocardial infarction was significantly reduced in patients who received eptifibatide (46% vs 22%, p < 0.05). there was no difference in perioperative stroke (2.2% vs 6.3%) or mortality (6.3% vs 6.5%).
patients may safely undergo coronary artery bypass surgery within 2 hours of discontinuation of eptifibatide. eptifibatide infusion in the immediate preoperative period had no adverse clinical effects, but did significantly decrease the incidence of perioperative myocardial infarction. additionally, platelet counts after surgery were higher in the group of patients who received eptifibatide, perhaps indicative of a platelet sparing effect during cardiopulmonary bypass.",Immediate coronary artery bypass surgery after platelet inhibition with eptifibatide: results from PURSUIT. Platelet Glycoprotein IIb/IIIa in Unstable Angina: Receptor Suppression Using Integrelin Therapy.,eptifibatide
"['Adult', 'Area Under Curve', 'Biotransformation', 'Blood Specimen Collection', 'Carbon Radioisotopes', 'Deamination', 'Eptifibatide', 'Humans', 'Injections, Intravenous', 'Male', 'Peptides', 'administration & dosage', 'pharmacokinetics', 'Platelet Aggregation Inhibitors', 'administration & dosage', 'pharmacokinetics']",9589822,"eptifibatide, a synthetic peptide inhibitor of the platelet glycoprotein iib/iiia receptor, has been studied as an antithrombotic agent in a variety of acute ischemic coronary syndromes. the purpose of the present study was to characterize the disposition of 14c eptifibatide in man after a single intravenous (i.v.) bolus dose. 14c eptifibatide (approximately 50 microci) was administered to eight healthy men as a single 135 microgram/kg i.v. bolus. blood, breath carbon dioxide, urine, and fecal samples were collected for up to 72 hours postdose and analyzed for radioactivity by liquid scintillation spectrometry. plasma and urine samples were also assayed by liquid chromatography with mass spectrometry for eptifibatide and deamidated eptifibatide (de). mean (+/  sd) peak plasma eptifibatide concentrations of 879 +/  251 ng/ml were achieved at the first sampling time (5 minutes), and concentrations then generally declined biexponentially, with a mean distribution half life of 5 +/  2.5 minutes and a mean terminal elimination half life of 1.13 +/  0.17 hours. plasma eptifibatide concentrations and radioactivity declined in parallel, with most of the radioactivity (82.4%) attributed to eptifibatide. a total of approximately 73% of administered radioactivity was recovered in the 72 hour period following 14c eptifibatide dosing. the primary route of elimination was urinary (98% of the total recovered radioactivity), whereas fecal (1.5%) and breath (0.8%) excretion was small. eptifibatide is cleared by both renal and nonrenal mechanisms, with renal clearance accounting for approximately 40% of total body clearance. within the first 24 hours, the drug is primarily excreted in the urine as unmodified eptifibatide (34%), de (19%), and more polar metabolites (13%).",Disposition of 14C-eptifibatide after intravenous administration to healthy men.,eptifibatide
[],21701628,"eptifibatide is a glycoprotein iib/iiia receptor antagonist used to reduce the incidence of ischemic events in patients with acute coronary syndromes and those undergoing percutaneous coronary intervention. a minority of patients given eptifibatide develop acute, profound thrombocytopenia (<20,000 cells/mm(3)) within a few hours of receiving the drug. this case report discusses a patient who developed profound thrombocytopenia within hours of receiving eptifibatide for the first time. the naranjo algorithm classified the likelihood that this patient's thrombocytopenia was related to eptifibatide as probable. profound thrombocytopenia is an uncommon but clinically important complication of eptifibatide. this case report emphasizes the importance of monitoring platelet counts routinely at baseline and within 2 6 hours of eptifibatide administration.",Profound thrombocytopenia after primary exposure to eptifibatide.,eptifibatide
"['Aged', 'Area Under Curve', 'Chromatography, Liquid', 'Cross-Over Studies', 'Dose-Response Relationship, Drug', 'Drug Interactions', 'Eptifibatide', 'Female', 'Half-Life', 'Heparin', 'pharmacology', 'Heparin, Low-Molecular-Weight', 'pharmacology', 'Humans', 'Injections, Intravenous', 'Male', 'Mass Spectrometry', 'Middle Aged', 'Peptides', 'pharmacokinetics', 'pharmacology', 'Platelet Aggregation Inhibitors', 'pharmacokinetics', 'pharmacology', 'Thrombin', 'antagonists & inhibitors', 'Time Factors']",14667957,"the rationale for the combined use of glycoprotein (gp) iib/illa inhibitors, such as eptifibatide, and antithrombin agents, such as unfractionated heparin (ufh), in patients presenting with non st segment elevation (nste) acute coronary syndrome (acs) and those scheduled for percutaneous coronary intervention is based on the fact that these therapies target the complementary pathophysiologic mechanisms responsible for ischemic adverse effects. the results of a recent study indicated that the combination of eptifibatide and enoxaparin is associated with a reduced rate of ischemic adverse effects compared with the combination of eptifibatide and ufh. therefore, the coadministration of eptifibatide with enoxaparin is an attractive option for the management of patients with nste acs.
this study was designed to determine whether the substitution of enoxaparin for ufh, when coadministered with eptifibatide, affects the pharmacokinetic and pharmacodynamic properties of eptifibatide.
this open label, crossover study was conducted at the quintiles clinical pharmacology unit (lenexa, kansas). healthy subjects were sequentially treated with the gp iib iiia inhibitor eptifibatide (180 microg/kg bolus + 2.0 microg/kg.min infusion) plus ufh or eptifibatide plus the low molecular weight heparin enoxaparin, on 2 occasions, separated by a 6  to 14 day washout period. the order of administration of the 2 regimens was random. the primary end point of the study was the steady state plasma concentration of eptifibatide (css); secondary end points included the inhibition of platelet aggregation, area under the plasma concentration time curve, apparent volume of distribution, plasma elimination half life (t 1/2), and total body eptifibatide clearance (cl).
a total of 14 subjects (10 men, 4 women; mean [sd] age, 53.2 [6.0]years) were enrolled. the mean (sd) css of eptifibatide was essentially identical when it was coadministered with either ufh or enoxaparin (1640 [227] ng/ml and 1610 (229) ng/ml, respectively). in addition, no clinically significant differences were found between the coadministration of ufh versus enoxaparin in platelet aggregation inhibition, t 1/2, eptifibatide cl, or other pharmacokinetic parameters. both regimens were well tolerated; no serious adverse effects were reported.
the results in this population of healthy subjects, age matched to the intended target population, suggest that eptifibatide can be used in the treatment of nste acs effectively, with good tolerability, and without dose adjustment when coadministered with enoxaparin instead of with ufh.",Pharmacokinetic and pharmacodynamic properties of eptifabatide in healthy subjects receiving unfractionated heparin or the low-molecular-weight heparin enoxaparin.,eptifibatide
"['Acute Disease', 'Aged', 'Bleeding Time', 'Coronary Artery Bypass', 'Coronary Disease', 'drug therapy', 'mortality', 'surgery', 'Double-Blind Method', 'Eptifibatide', 'Female', 'Humans', 'Male', 'Middle Aged', 'Peptides', 'therapeutic use', 'Platelet Aggregation Inhibitors', 'therapeutic use', 'Platelet Glycoprotein GPIIb-IIIa Complex', 'antagonists & inhibitors', 'Survival Analysis', 'Time Factors', 'Treatment Outcome']",11113045,"patients with a recent episode of non st segment elevation acute coronary syndrome before cabg have higher rates of operative morbidity and mortality than patients with stable coronary syndromes. the efficacy of administering eptifibatide to these patients undergoing in hospital cabg is unknown.
the platelet glycoprotein iib iiia in unstable angina: receptor suppression using integrilin therapy (pursuit) trial randomized 10 948 patients to receive either eptifibatide or placebo. there were 1558 study participants who underwent in hospital cabg: 692 received placebo, and 866 received eptifibatide. the main substudy analysis end point was death or myocardial infarction (mi) rates at the 6 month follow up. the 30 day death or mi rates were 30. 8% and 26.1% for the placebo and eptifibatide groups, respectively (p:=0.041). the benefit of eptifibatide administration persisted through 6 months of follow up (32.7% versus 27.6% for placebo versus eptifibatide, respectively; p:=0.029). there was a greater reduction in the 6 month death or mi rate for patients who received eptifibatide within 72 hours of cabg (33.6% versus 23.8%; p:=0.002) compared with the >72 hour group (31.6% versus 32%; p:=1.0). the incidence of major bleeding was 56.6% for placebo treated patients versus 58.2% for eptifibatide treated patients (p:=0.7).
eptifibatide administration in patients undergoing in hospital cabg with a recent episode of a non st segment elevation acute coronary syndrome results in a significant reduction in death or mi that is evident at 7 days and persists through the 6 month follow up without a significant increase in perioperative bleeding rates.",Enhanced efficacy of eptifibatide administration in patients with acute coronary syndrome requiring in-hospital coronary artery bypass grafting. PURSUIT Investigators.,eptifibatide
"['Adenosine Diphosphate', 'pharmacology', 'Aged', 'Amino Acid Chloromethyl Ketones', 'pharmacology', 'Angina, Unstable', 'blood', 'drug therapy', 'Antithrombins', 'pharmacology', 'Coronary Disease', 'blood', 'drug therapy', 'Eptifibatide', 'Female', 'Humans', 'Male', 'Middle Aged', 'Peptide Fragments', 'pharmacology', 'Peptides', 'pharmacokinetics', 'Platelet Aggregation', 'drug effects', 'Platelet Aggregation Inhibitors', 'blood', 'pharmacokinetics', 'Platelet Glycoprotein GPIIb-IIIa Complex', 'antagonists & inhibitors', 'Receptors, Thrombin', 'drug effects', 'metabolism', 'Time Factors']",11468200,"platelet deposition and aggregation are central to the pathogenesis of ischemic complications of acute coronary syndromes (acs). pharmacodynamic effects of the platelet glycoprotein iib/iiia antagonist eptifibatide have been delineated in healthy subjects but not in patients with acs. we assessed effects of eptifibatide on ex vivo platelet aggregation in patients enrolled in the platelet glycoprotein iib/iiia in unstable angina: receptor suppression using integrilin (eptifibatide) therapy (pursuit) trial of acs.
patients were randomly assigned to an intravenous bolus (180 microgram/kg) and 72 hour infusion of eptifibatide (2.0 microgram/kg per minute, n=48) or placebo (n=50). we assessed correlations of plasma eptifibatide levels with receptor occupancy and inhibition of ex vivo platelet aggregation at 5 minutes and 1, 4, 24, 48, and 72 hours during treatment and 4 and 8 hours after termination of infusion. blood was collected in buffered citrate and d phenylalanyl l prolyl l arginine chloromethylketone anticoagulants. although eptifibatide produced profound, prolonged inhibition of platelet aggregation during therapy, aggregation appeared to recover partially by 4 hours after the bolus. the aggregation response was greater with thrombin receptor agonist peptide versus adp stimulation; inhibition of platelet aggregation was greater in blood samples anticoagulated with citrate versus d phenylalanyl l prolyl l arginine chloromethylketone (ppack). plasma eptifibatide levels correlated significantly with receptor occupancy but not with inhibition of platelet aggregation.
a bolus and infusion of eptifibatide inhibits platelet aggregation profoundly in patients with acs and is followed by brief, partial recovery. these results enhance our understanding of the relation between pharmacodynamic and clinical effects of eptifibatide in such patients and may have important implications for its use in percutaneous interventions.",Pharmacodynamics and pharmacokinetics of eptifibatide in patients with acute coronary syndromes: prospective analysis from PURSUIT.,eptifibatide
"['Abciximab', 'Adult', 'Aged', 'Aged, 80 and over', 'Angioplasty, Balloon, Coronary', 'Antibodies, Monoclonal', 'administration & dosage', 'adverse effects', 'Coronary Disease', 'blood', 'therapy', 'Eptifibatide', 'Female', 'Humans', 'Immunoglobulin Fab Fragments', 'administration & dosage', 'adverse effects', 'Infusions, Intravenous', 'Male', 'Middle Aged', 'Peptides', 'administration & dosage', 'adverse effects', 'Platelet Aggregation', 'drug effects', 'Platelet Aggregation Inhibitors', 'administration & dosage', 'adverse effects', 'Stents', 'Tirofiban', 'Tyrosine', 'administration & dosage', 'adverse effects', 'analogs & derivatives']",11300442,"we sought to investigate whether abciximab, tirofiban and eptifibatide achieve comparable antiplatelet effects with coronary stenting.
the glycoprotein (gp) iib/iiia antagonists abciximab, tirofiban and eptifibatide differ in chemical structure, binding site and pharmacokinetics.
sixty patients undergoing coronary stenting were randomly assigned to abciximab (bolus 0.25 mg/kg body weight, infusion 10 microg per min for 12 h), tirofiban (bolus 10 microg/kg, infusion 0.15 microg/kg per min for 72 h) or eptifibatide (bolus 180 microg/kg, infusion 2 microg/kg per min for 72 h). we took serial blood samples to analyze platelet function by using flow cytometry, turbidimetric aggregometry and the rapid platelet function assay (rpfa).
as assessed by rpfa, platelet aggregation after 2 h of infusion was reduced to 5.9 +/  7.8% (mean +/  sd) of baseline by abciximab, to 5.0 +/  5.4% by tirofiban and to 7.8 +/  7.1% by eptifibatide (p = 0.42). turbidimetric aggregometry with adenosine diphosphate stimulation yielded similar results, whereas percent inhibition of platelet aggregation after thrombin receptor stimulation was 45.8 +/  16.8% with abciximab, 51.3 +/  17.6% with tirofiban and 52.9 +/  14.8% with eptifibatide (p = 0.37). tirofiban and eptifibatide maintained their level of platelet inhibition during infusion. flow cytometry revealed that the reduction in the monocyte platelet interaction by abciximab, tirofiban and eptifibatide was not significantly different (20.0 +/  21.9%, 23.8 +/  18.2% and 21.0 +/  19.8%, respectively; p = 0.87).
abciximab, tirofiban and eptifibatide, at currently recommended doses, achieved similar levels of inhibition of platelet aggregation and a similar reduction in the platelet monocyte interaction.","Antiplatelet effects of abciximab, tirofiban and eptifibatide in patients undergoing coronary stenting.",eptifibatide
"['Abciximab', 'Antibodies, Monoclonal', 'administration & dosage', 'chemistry', 'pharmacology', 'Blood Platelets', 'drug effects', 'Drug Contamination', 'Drug Incompatibility', 'Drug Stability', 'Drug Storage', 'Eptifibatide', 'Humans', 'Immunoglobulin Fab Fragments', 'administration & dosage', 'chemistry', 'pharmacology', 'Peptides', 'administration & dosage', 'chemistry', 'pharmacology', 'Platelet Aggregation Inhibitors', 'administration & dosage', 'chemistry', 'pharmacology', 'Tirofiban', 'Tyrosine', 'administration & dosage', 'analogs & derivatives', 'chemistry', 'pharmacology', 'United States']",15972381,"the physical and chemical compatibility of argatroban with abciximab, eptifibatide, or tirofiban during simulated y site administration was studied.
test solutions of argatroban 1 mg/ml, abciximab 36 microg/ml, eptifibatide 2 mg/ml, and tirofiban 50 microg (as the hydrochloride salt) per milliliter in 5% dextrose injection (d5w) and in 0.9% sodium chloride injection (saline) were prepared in duplicate by using aseptic technique. argatroban solution was mixed with abciximab, eptifibatide, or tirofiban solution, each at a ratio of 1:1 by volume, and at 4:1 with abciximab solution, 8:1 with tirofiban solution, and 16:1 with eptifibatide solution. compatibility was evaluated immediately after solution preparation and after storage for four hours at 20 25 degrees c. physical compatibility was determined with the unaided eye and with a particle counter, and chemical compatibility was measured with high performance liquid chromatography. the chemical compatibility of argatroban and abciximab was not tested because of the poor stability or recovery of abciximab in the test diluents.
argatroban was physically compatible with abciximab, eptifibatide, and tirofiban in d5w at each ratio tested and in saline at a 1:1 ratio. argatroban was chemically compatible with eptifibatide and tirofiban. no significant impurities were detected, except for a single impurity in argatroban eptifibatide 1:1 admixtures.
at concentrations commonly used in practice, argatroban was physically compatible with abciximab and physically and chemically compatible with eptifibatide and tirofiban for four hours at 20 25 degrees c.","Compatibility of argatroban with abciximab, eptifibatide, or tirofiban during simulated Y-site administration.",eptifibatide
"['Aged', 'Angina, Unstable', 'drug therapy', 'mortality', 'Bias', 'Coronary Disease', 'drug therapy', 'mortality', 'Dose-Response Relationship, Drug', 'Double-Blind Method', 'Drug Therapy, Combination', 'Eptifibatide', 'Female', 'Heparin', 'administration & dosage', 'adverse effects', 'Humans', 'Infusions, Intravenous', 'Male', 'Middle Aged', 'Myocardial Infarction', 'drug therapy', 'mortality', 'Peptides', 'administration & dosage', 'adverse effects', 'Platelet Aggregation Inhibitors', 'administration & dosage', 'adverse effects', 'Survival Rate', 'Treatment Outcome']",11230834,"platelet glycoprotein iib/iiia inhibitors have been extensively studied in the treatment of patients with ischemic heart disease. data regarding the use of these agents in the absence of concomitant intravenous heparin have been conflicting. we sought to determine, using propensity analysis, whether the benefit of eptifibatide, a iib/iiia inhibitor, in the treatment of acute coronary syndromes is affected by the concurrent administration of heparin. by trial design, patients were randomized to either eptifibatide or placebo, whereas use of intravenous heparin was left to the discretion of treating physicians. the effect of eptifibatide on the 30 day composite end point of death or myocardial infarction was studied in patients who received heparin and those who did not. propensity analysis methods were used to control for confounding and presumed selection biases. among 5,576 patients who were receiving heparin when the bolus dose of the study drug was administered, eptifibatide was associated with a reduced composite end point rate (13%) compared with that of placebo (14.5% vs 16.6%, p = 0.03). in contrast, among 1,441 patients who were not receiving heparin, there was no difference in 30 day event rates with eptifibatide compared with placebo (13.7% vs 13.1%, p > 0.7). after a propensity score for use of heparin was developed, however, use of heparin did not affect the reduced risk associated with eptifibatide (adjusted relative risk [rr] for heparin eptifibatide interaction term 0.90, 95% confidence interval [ci] 0.61 to 1.32, p > 0.5), but the propensity for heparin use was a strong predictor of events (adjusted rr 1.76, 95% ci 1.42 to 2.17, p < 0.001). the use of eptifibatide independently predicted a lower risk of events (adjusted rr 0.31, 95% ci 0.10 to 0.93, p = 0.04). thus, the apparent positive impact of heparin on the benefits of eptifibatide therapy was largely due to confounding and bias.",Prognostic importance of concomitant heparin with eptifibatide in acute coronary syndromes. PURSUIT Investigators. Platelet Glycoprotein IIb/IIIa in Unstable Angina: Receptor Suppression Using Integrilin Therapy.,eptifibatide
[],31258066,"animal studies on cardiac arrest found that a combination of epinephrine with esmolol attenuates post resuscitation myocardial dysfunction. based on these findings, we hypothesized that esmololepinephrine combination therapy would be superior to a reported cardioprotective esmolol therapy alone in a mouse model of myocardial ischemia and reperfusion (ir) injury.
c57bl/6j mice were subjected to 60 min of myocardial ischemia and 120 min of reperfusion. mice received either saline, esmolol (0.4 mg/kg/h), epinephrine (0.05 mg/kg/h), or esmolol combined with epinephrine (esmolol: 0.4 mg/kg/h or 0.8 mg/kg/h and epinephrine: 0.05 mg/kg/h) during reperfusion. after reperfusion, infarct sizes in the area at risk and serum cardiac troponin i levels were determined. hemodynamic effects of drugs infused were determined by measurements of heart rate (hr) and mean arterial blood pressure (map) via a carotid artery catheter.
esmolol during reperfusion resulted in robust cardioprotection (esmolol vs. saline: 24.3±8% vs. 40.6±3% infarct size), which was abolished by epinephrine co administration (38.1±15% infarct size). increasing the esmolol dose, however, was able to restore esmolol cardioprotection in the epinephrine esmolol (18.6±8% infarct size) co treatment group with improved hemodynamics compared to the esmolol group (epinephrine esmolol vs. esmolol: map 80 vs. 75 mmhg, hr 452 vs. 402 beats/min).
these results confirm earlier studies on esmolol cardioprotection from myocardial ir injury and demonstrate that a dose optimized epinephrine esmolol co treatment maintains esmolol cardioprotection with improved hemodynamics compared to esmolol treatment alone. these findings might have implications for current clinical practice in hemodynamically unstable patients suffering from myocardial ischemia.",Dose-dependent Effects of Esmolol-epinephrine Combination Therapy in Myocardial Ischemia and Reperfusion Injury.,esmolol
"['Adrenergic beta-Antagonists', 'administration & dosage', 'blood', 'Blood Specimen Collection', 'methods', 'Body Temperature', 'Cardiopulmonary Bypass', 'Humans', 'Hypothermia, Induced', 'Infusions, Intravenous', 'Monitoring, Physiologic', 'Myocardial Revascularization', 'Oxygenators, Membrane', 'Propanolamines', 'administration & dosage', 'blood', 'Time Factors']",8097210,"esmolol hydrochloride was administered by constant rate continuous infusion to 10 patients undergoing hypothermic cardiopulmonary bypass for coronary artery revascularization surgery. after a suitable loading dose, the esmolol infusion was started approximately 30 minutes before bypass and was stopped 10 minutes after termination of bypass. esmolol concentrations were measured in arterial and venous blood samples collected before and after bypass and in samples taken from the inflow and outflow ports of the membrane oxygenator during bypass. blood esmolol concentrations increased during hypothermia in a manner that correlated significantly and inversely with temperature. all patients were separated from the extracorporeal circulation without difficulty, and the average arterial esmolol concentration was slightly below the prebypass concentration within minutes of discontinuing bypass. esmolol disappeared from the blood rapidly on terminating the infusion. there was no difference between esmolol concentrations measured simultaneously from the inflow and outflow ports of the membrane oxygenator during bypass, but radial arterial esmolol concentrations before and after bypass were on average about sevenfold higher than forearm venous esmolol concentrations during the esmolol infusion. the results of this study lead to two important conclusions: (1) in vivo clearance of esmolol demonstrates acute temperature dependence and (2) esmolol is removed irreversibly as it passes through the microcirculation of the hand, making measurement of peripheral esmolol concentrations markedly dependent on sampling site (arterial versus venous).",Effect of hypothermia and sampling site on blood esmolol concentrations.,esmolol
"['Adolescent', 'Adrenergic beta-Antagonists', 'adverse effects', 'Bradycardia', 'diagnosis', 'Contraindications', 'Female', 'Humans', 'Hypotension, Orthostatic', 'diagnosis', 'Isoproterenol', 'Male', 'Posture', 'physiology', 'Propanolamines', 'adverse effects', 'Recurrence', 'Reproducibility of Results', 'Sensitivity and Specificity', 'Substance Withdrawal Syndrome', 'Syncope', 'chemically induced', 'etiology', 'therapy']",7904232,"head upright tilt (hut) testing is valuable in evaluating syncope. isoproterenol is used to increase sensitivity. however, isoproterenol is contraindicated or dangerous in undiagnosed heart disease and produces false positives. we introduced esmolol withdrawal during esmolol hut, hypothesizing that (1) acute withdrawal of the ultrashort acting beta blocker induces beta adrenergic effects by unmasking endogenous catecholamines and may provoke syncope with fewer risks, and (2) response to esmolol/esmolol withdrawal may predict effective therapy.
thirty six patients with unexplained recurrent syncope/presyncope (7 to 35 years old, known heart disease or arrhythmia in 14) underwent 2 to 4 hut tests (60 degrees, 49 minutes): (1) baseline, (2) esmolol (500 micrograms/kg plus 50 micrograms.kg 1.min 1), (3) esmolol withdrawal (hut continued after esmolol stopped), and (4) isoproterenol if tests 1 through 3 were negative and isoproterenol was not contraindicated. a positive test reproduced symptoms with hypotension or bradycardia, requiring recumbency for recovery. twenty five had positive tests, and 11 had negative tests. in 5, only the baseline test was positive; in 15, esmolol/esmolol withdrawal tests were also positive, with 3 in whom esmolol withdrawal was positive although negative at baseline. two isoproterenol tilts were positive. esmolol withdrawal and isoproterenol tilts had the highest initial heart rate and similar maximal heart rate increment. only isoproterenol caused hypertension. one isoproterenol test was false positive, with hypertension induced arterial baroreflex. treatment was beta blockers (8), na/fludrocortisone (9), both (6), and ddd pacemakers (2). esmolol/esmolol withdrawal accurately predicted therapeutic response in 15; isoproterenol predicted therapeutic response in none.
esmolol withdrawal tilt testing is preferable to isoproterenol for provocative testing of syncope in the young, and it appears to be safer. esmolol withdrawal testing has clinical utility before invasive testing as a first line investigation for syncope in patients with or without heart disease.",Esmolol tilt testing with esmolol withdrawal for the evaluation of syncope in the young.,esmolol
"['Acute Disease', 'Adolescent', 'Adult', 'Aged', 'Arrhythmias, Cardiac', 'drug therapy', 'Blood Pressure', 'drug effects', 'Clinical Trials as Topic', 'Double-Blind Method', 'Female', 'Heart Rate', 'drug effects', 'Humans', 'Male', 'Propanolamines', 'adverse effects', 'therapeutic use', 'Propranolol', 'adverse effects', 'therapeutic use', 'Tachycardia', 'drug therapy', 'Time Factors']",3904379,"the efficacy and safety of intravenous esmolol infusion was compared to that of intravenous propranolol injection in patients with supraventricular tachyarrhythmias (svt) in a multicenter double blind parallel study. a total of 127 patients were randomized to either the esmolol (n = 64) or propranolol (n = 63) group. therapeutic response was achieved in 72% of esmolol and 69% of propranolol patients (p = ns). the average dose of esmolol in responders was 115 +/  11 micrograms/kg/min. therapeutic response was sustained in the 4 hour maintenance period in 67% of esmolol and 58% of propranolol patients (p = ns). rate of conversion to normal sinus rhythm was similar in the two treatment groups. after discontinuation, rapid recovery from beta blockade (decrease in heart rate reduction) was observed in esmolol patients (within 10 minutes) compared to propranolol patients (no change in heart rate up to 4.3 hours). the principal adverse effect was hypotension, reported in 23 esmolol (asymptomatic in 19) and four propranolol (asymptomatic in three) patients. in the majority of esmolol patients, hypotension resolved quickly (within 30 minutes) after esmolol was discontinued. it was concluded that esmolol was comparable in efficacy and safety to propranolol in the treatment of patients with svt. unlike propranolol, because of the short half life of esmolol, rapid control of beta blockade is possible with esmolol in clinical conditions when required.",Efficacy and safety of esmolol vs propranolol in the treatment of supraventricular tachyarrhythmias: a multicenter double-blind clinical trial.,esmolol
"['Adrenergic beta-Antagonists', 'adverse effects', 'blood', 'pharmacology', 'Adult', 'Blood Pressure', 'drug effects', 'Coronary Disease', 'physiopathology', 'Heart Function Tests', 'Heart Rate', 'drug effects', 'Hemodynamics', 'drug effects', 'Humans', 'Male', 'Middle Aged', 'Propanolamines', 'adverse effects', 'blood', 'pharmacology']",2888793,"the hemodynamic effects of esmolol were evaluated in 12 male patients at rest (mean age, 51 +/  10 years) undergoing routine cardiac catheterization. hemodynamic measurements were obtained during baseline (prior to esmolol), at steady state (during an intravenous infusion of esmolol 300 micrograms/kg/min), and at 30 minutes after stopping esmolol (postinfusion). esmolol produced hemodynamic effects similar to the effects of other beta blockers. significant reductions in rate pressure product (mean decrease, 15%), cardiac index (mean decrease, 17%), stroke volume index (mean decrease, 13%), left ventricular stroke work index (mean decrease, 20%), and left ventricular ejection fraction (mean decrease, 18%) were observed. in contrast to other beta blockers, all hemodynamic effects of esmolol had returned to baseline values within 30 minutes after the infusion stopped. one patient exhibited hypotension during the esmolol infusion; this episode resolved without sequelae after discontinuation of esmolol. in summary, the effects of esmolol at rest on hemodynamic parameters and left ventricular function are similar to other beta adrenergic blocking agents. due to its ultrashort half life, esmolol can be administered safely in critically ill patients whose disease status makes treatment with currently available beta blockers risky.","Hemodynamic effects of esmolol, an ultrashort-acting beta blocker.",esmolol
"['Adrenergic beta-Antagonists', 'administration & dosage', 'therapeutic use', 'Adult', 'Ambulatory Surgical Procedures', 'Blood Pressure', 'drug effects', 'Double-Blind Method', 'Heart Rate', 'drug effects', 'Humans', 'Hypertension', 'prevention & control', 'Injections, Intravenous', 'Intubation, Intratracheal', 'adverse effects', 'Laryngoscopy', 'adverse effects', 'Middle Aged', 'Placebos', 'Propanolamines', 'administration & dosage', 'therapeutic use', 'Prospective Studies', 'Random Allocation', 'Tachycardia', 'prevention & control']",1975187,"the efficacy of a single bolus dose of esmolol in the prevention of intubation induced tachycardia and hypertension was studied in a double blind manner. thirty patients from the ambulatory surgery unit at rush presbyterian st. luke's medical center were prospectively randomized to receive a placebo, 100 mg of esmolol, or 200 mg of esmolol immediately prior to induction (2.5 to 3.0 minutes before intubation). the groups were similar in demographic characteristics and with regard to preoperative blood pressure (bp) and heart rate (hr). anesthetic management was standardized for all patients. esmolol 100 mg (1.4 +/  0.3 mg/kg) and 200 mg (2.6 +/  0.7 mg/kg) significantly (p less than 0.05) blunted the maximum increases in hr and bp following intubation. the average maximum hr increase in the placebo group was 40% as opposed to 16% in the esmolol 100 mg group and 14% in the esmolol 200 mg group. both esmolol groups blunted the tachycardic response over a 4 minute postintubation time period. the average maximum bp increase was 47% in the placebo group versus 22% and 19% in the esmolol 100 mg and esmolol 200 mg groups, respectively. there were no significant differences between the two esmolol groups. this study demonstrates the efficacy of a single bolus dose of esmolol in blunting the tachycardic and hypertensive responses to laryngoscopy and intubation in an ambulatory surgery setting.",A single bolus dose of esmolol in the prevention of intubation-induced tachycardia and hypertension in an ambulatory surgery unit.,esmolol
